timestamp,temperature,humidity,soil_moisture
2025-05-28T22:15:38.917030,23.4,72.0,1020
2025-05-28T22:15:44.814579,23.4,72.0,1020
2025-05-28T22:15:50.710424,23.4,72.0,1021
2025-05-28T22:16:02.502378,23.3,72.0,1023
2025-05-28T22:16:08.399427,23.2,72.0,1022
2025-05-28T22:16:31.984345,23.1,72.0,1021
2025-05-28T22:16:37.880970,23.0,72.0,1022
2025-05-28T22:17:01.466421,23.0,72.0,1023
2025-05-28T22:17:07.362784,23.0,72.0,1019
2025-05-28T22:17:13.259433,23.0,72.0,1022
2025-05-28T22:17:30.948094,23.0,72.0,1020
2025-05-28T22:17:42.741245,23.0,72.0,1021
2025-05-28T22:17:48.637894,23.0,72.0,1022
2025-05-28T22:18:12.223451,23.0,72.0,1018
2025-05-28T22:18:18.119734,23.0,72.0,1022
2025-05-28T22:18:24.015925,23.0,72.0,1023
2025-05-28T22:18:29.912268,23.0,72.0,1023
2025-05-28T22:18:35.809038,23.0,72.0,1021
2025-05-28T22:18:41.705677,23.0,72.0,1022
2025-05-28T22:18:47.601952,23.0,72.0,1022
2025-05-28T22:19:11.187264,23.1,72.0,1021
2025-05-28T22:19:17.084049,23.1,72.0,1021
2025-05-28T22:19:28.876225,23.1,72.0,1021
2025-05-28T22:19:40.668650,23.1,72.0,1022
2025-05-28T22:19:46.565555,23.0,72.0,1022
2025-05-28T22:19:52.462280,23.0,72.0,1020
2025-05-28T22:20:10.150872,23.0,72.0,1021
2025-05-28T22:20:16.047515,23.0,72.0,1022
2025-05-28T22:20:33.736733,23.0,72.0,1021
2025-05-28T22:20:39.633260,23.0,72.0,1021
2025-05-28T22:20:45.529986,23.0,72.0,1023
2025-05-28T22:21:03.219553,23.0,72.0,1019
2025-05-28T22:21:09.117393,23.0,72.0,1019
2025-05-28T22:21:20.908570,23.0,72.0,1023
2025-05-28T22:21:32.702123,23.1,72.0,1022
2025-05-28T22:21:50.391377,23.1,72.0,1021
